                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.792,                 2.8898,                 1.5396,                0.01172,                0.33695,                0.14472,                0.08782,                 1.4843,                 3.3069,                 1.1728,             0.00046526,             0.00046526,             0.00046526
                      2,                 1.4128,                 1.6928,                 1.1855,                0.39668,                0.16785,                0.21539,                0.12637,                 1.4756,                 2.5962,                 1.1323,             0.00093227,             0.00093227,             0.00093227
                      3,                 1.3766,                  1.536,                 1.1926,                0.46145,                0.29458,                0.33724,                0.19231,                 1.4996,                 1.8714,                 1.2091,              0.0013898,              0.0013898,              0.0013898
                      4,                 1.3849,                 1.4427,                  1.185,                0.85002,                0.35573,                0.42706,                0.25385,                 1.3769,                  1.477,                 1.1548,              0.0013866,              0.0013866,              0.0013866
                      5,                 1.3374,                 1.2757,                 1.1508,                 0.8042,                0.42434,                0.46277,                0.27143,                 1.3835,                 1.1865,                  1.139,              0.0013866,              0.0013866,              0.0013866
                      6,                 1.3222,                 1.1813,                 1.1382,                0.83151,                0.40859,                 0.4797,                0.28652,                 1.3788,                  1.111,                 1.1436,              0.0013724,              0.0013724,              0.0013724
                      7,                 1.2746,                 1.0883,                 1.1218,                0.55496,                0.52238,                0.54081,                0.32411,                 1.3548,                0.98717,                 1.1244,              0.0013583,              0.0013583,              0.0013583
                      8,                 1.2719,                 1.0502,                 1.1162,                 0.4424,                0.50476,                0.50267,                0.29845,                 1.3967,                0.99763,                  1.129,              0.0013441,              0.0013441,              0.0013441
                      9,                 1.2678,                 1.0083,                 1.0985,                0.65375,                0.48667,                0.52435,                0.29768,                 1.3887,                0.98989,                 1.1115,                0.00133,                0.00133,                0.00133
                     10,                 1.2584,                0.95495,                  1.107,                0.67713,                0.47595,                0.53772,                0.33055,                 1.2547,                0.92279,                 1.0743,              0.0013158,              0.0013158,              0.0013158
                     11,                  1.233,                0.92278,                 1.0956,                0.68743,                0.48608,                0.55175,                 0.3134,                 1.3848,                0.90507,                  1.129,              0.0013017,              0.0013017,              0.0013017
                     12,                  1.232,                0.90321,                 1.0949,                0.70391,                0.47543,                0.55073,                 0.3424,                 1.3025,                 0.8963,                 1.0958,              0.0012875,              0.0012875,              0.0012875
                     13,                 1.2453,                0.88995,                 1.0939,                0.74616,                 0.4976,                0.56937,                 0.3499,                 1.2937,                0.84442,                 1.0965,              0.0012734,              0.0012734,              0.0012734
                     14,                  1.212,                0.86038,                 1.0928,                0.60074,                0.57722,                0.56314,                0.33061,                 1.3621,                0.83529,                 1.1161,              0.0012592,              0.0012592,              0.0012592
                     15,                 1.2107,                 0.8193,                 1.0842,                0.70154,                 0.5853,                0.61364,                0.37685,                 1.3182,                0.78833,                 1.1021,              0.0012451,              0.0012451,              0.0012451
                     16,                 1.1999,                0.81288,                 1.0759,                0.58293,                0.57319,                0.54721,                0.34438,                 1.2359,                0.86345,                 1.0685,              0.0012309,              0.0012309,              0.0012309
                     17,                 1.2052,                0.81661,                 1.0804,                0.77341,                0.58617,                0.65451,                0.40068,                 1.3412,                0.81376,                 1.0964,              0.0012168,              0.0012168,              0.0012168
                     18,                 1.1926,                0.79018,                 1.0723,                0.66154,                0.58314,                0.61984,                0.37525,                 1.3177,                0.78016,                 1.0945,              0.0012026,              0.0012026,              0.0012026
                     19,                 1.1818,                0.76414,                 1.0653,                0.63955,                0.60105,                0.63116,                0.37284,                 1.3374,                0.79498,                 1.0997,              0.0011885,              0.0011885,              0.0011885
                     20,                 1.1827,                0.75835,                  1.073,                0.69545,                0.61305,                0.63466,                0.40287,                 1.2352,                0.71846,                 1.0576,              0.0011744,              0.0011744,              0.0011744
                     21,                 1.1735,                0.73643,                 1.0585,                0.65966,                0.59589,                0.63476,                0.40728,                 1.2442,                 0.7495,                 1.0621,              0.0011602,              0.0011602,              0.0011602
                     22,                 1.1449,                0.72616,                  1.044,                0.71747,                0.54843,                0.62827,                0.38923,                 1.2621,                0.74107,                 1.0701,              0.0011461,              0.0011461,              0.0011461
                     23,                 1.1385,                0.71604,                 1.0529,                0.77769,                0.56529,                0.63441,                0.39067,                 1.2543,                0.75057,                 1.0717,              0.0011319,              0.0011319,              0.0011319
                     24,                 1.1571,                0.71022,                 1.0478,                0.80826,                0.60696,                0.67399,                0.40925,                 1.3325,                0.74577,                 1.0946,              0.0011178,              0.0011178,              0.0011178
                     25,                 1.1571,                0.70718,                 1.0465,                0.70491,                0.57792,                0.63279,                0.38486,                  1.289,                0.77291,                 1.0915,              0.0011036,              0.0011036,              0.0011036
                     26,                 1.1542,                0.70225,                 1.0453,                0.71907,                0.60697,                0.63425,                0.40088,                 1.2539,                0.71821,                 1.0742,              0.0010895,              0.0010895,              0.0010895
                     27,                  1.141,                0.68551,                 1.0385,                0.70321,                0.65496,                0.65656,                0.40235,                 1.2425,                0.71956,                   1.06,              0.0010753,              0.0010753,              0.0010753
                     28,                 1.1384,                0.67983,                 1.0401,                0.72667,                0.65977,                0.67119,                0.42325,                 1.2687,                 0.7124,                  1.071,              0.0010612,              0.0010612,              0.0010612
